Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
40.0,127.0,PRK,Corée du Nord,,2,0,1,3,2.2016518E7,,,3,1,0,4,2.2840225E7,,,1,4,0,5,2.3639303E7,,,2,0,2,4,2.4243894E7,,,2,0,4,6,2.4763188E7,,,2,2,2,6,,,
25.269535,51.212767,QAT,Qatar,,0,0,0,0,512476.0,9059340385,,0,1,0,1,593693.0,17759890110,,0,0,0,0,720384.0,31734065934,,0,0,0,0,1359114.0,115270054945,,2,0,0,2,2050514.0,186833502363,,0,1,0,1,,151732181868,
46.0,25.0,ROU,Roumanie,ROU,9,4,12,25,2.2619004E7,36937074278,,8,3,21,32,2.2442971E7,37253739511,,4,5,15,24,2.1451748E7,74973656852,0.0195840994440682,13,3,3,19,2.0537875E7,214317202478,0.0348384486655728,5,6,2,13,2.0058035E7,179132893143,0.0336364147900867,9,3,3,15,,185287630540,0.025519460749490103
-29.0,24.0,RSA,Afrique du Sud,ZAF,1,1,2,4,,,,3,2,0,5,,,,2,2,4,8,,,,0,0,0,0,,,,1,2,5,8,,,0.0511319669637462,8,5,2,15,5.5653654E7,,0.034580646720123995
66.416666666,94.25,RUS,Russie,RUS,24,34,26,84,,391724890744,,43,53,53,149,1.4689E8,259710142197,,76,40,38,154,,591016690732,,43,42,39,124,,1660848058303,,42,32,40,114,1.43056383E8,2208293553878,,30,18,35,83,1.46519759E8,1276786350881,0.0558691647949393
1.3,103.8,SGP,Singapour,,0,0,0,0,3670704.0,96293086513,,0,0,0,0,4027887.0,96076539926,,0,0,0,0,4166664.0,115033593101,,0,2,0,2,4839396.0,193617323539,,2,0,1,3,5312437.0,295092888077,,0,0,0,0,5781728.0,319030057631,
46.0,15.0,SLO,,,0,1,0,1,,,,0,0,2,2,,,,2,3,0,5,,,,2,1,0,3,,,,3,1,1,5,,,,1,2,0,3,,,
7.0,81.0,SRI,Sri Lanka,,0,0,0,0,,,,1,0,0,1,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,2.0277597E7,,,0,0,0,0,,,
15.0,32.0,SUD,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,1,0,0,1,,,,0,0,0,0,,,,0,0,0,0,,,
46.798562,8.231973,SUI,Suisse,CHE,0,4,4,8,7071850.0,,0.03649654990308139,2,9,2,13,7184250.0,,0.0314883091873281,4,2,1,7,7389625.0,,0.0357041184368644,6,1,2,9,7647675.0,,0.0342128950374687,0,2,2,4,7996861.0,,0.032124243178819394,2,1,6,9,,,0.0329711315579599
49.0,20.0,SVK,,,1,1,1,3,,27925036755,,1,2,1,4,,29242558797,,5,1,3,9,,57437444469,,1,3,4,8,,100879902985,,3,2,0,5,,94623731086,,0,4,2,6,,89952699525,
61.0,15.0,SWE,Suède,SWE,5,17,3,25,8840998.0,291743811512,,8,16,4,28,8872109.0,262835454367,,2,5,4,11,8993531.0,385118044877,0.0544485643033658,1,5,0,6,9219637.0,517706149201,0.0643563065224062,3,15,2,20,9519374.0,552483727283,0.0982077355422772,2,22,2,26,9954420.0,515654671470,0.010018049703388302
35.216667,38.583333,SYR,Syrie,,0,0,1,1,1.4746306E7,61546280624,,0,0,0,0,1.6371208E7,80590022272,,1,0,0,1,1.7676012E7,112863340757,,0,0,0,0,2.0325443E7,218089977728,,0,0,0,0,2.0420701E7,43190318033,,0,0,0,0,,12598742889,
14.0,101.0,THA,Thaïlande,THA,0,0,0,0,5.9562136E7,183035237429,,2,0,1,3,6.0916441E7,126392224254,,4,1,3,8,6.50874E7,172895685155,,0,2,2,4,6.618534E7,291382982431,,1,0,0,1,6.6785001E7,397558325279,,1,2,1,4,6.593155E7,413366349748,0.042123769999281004
38.583333,71.366667,TJK,,,0,0,0,0,,1043654822,,0,0,0,0,,860541842,,0,0,0,0,,2076176636,,0,1,0,1,,5161299725,,1,0,0,1,,7633036366,,0,0,1,1,,6992416097,
10.666666666,-61.516666666,TTO,Trinité-et-Tobago,,1,0,0,1,1258365.0,5759537726,,1,0,0,1,1267980.0,8154338233,,1,0,0,1,1290379.0,13280275123,,0,1,4,5,1316449.0,27871587350,,3,4,1,8,1337439.0,27334581560,,0,1,0,1,,23713671528,
34.0,10.0,TUN,Tunisie,,0,0,0,0,,19587161807,,0,0,0,0,,21473528161,,0,0,0,0,,31183885241,,0,0,1,1,,44859439902,,0,1,1,2,,47311401813,,3,0,0,3,1.13045E7,44360072680,
39.0,36.0,TUR,Turquie,TUR,1,1,4,6,5.9442502E7,181464408820,,1,1,3,5,6.3174483E7,274294623164,,2,3,3,8,6.6845635E7,408865430220,,3,2,1,6,7.0344357E7,770449132861,,1,2,1,4,7.4849187E7,880555885492,,2,3,2,7,,869682881593,0.0751463126432534
24.4,54.3,UAE,Émirats arabes unis,,0,0,0,0,2470810.0,,,0,0,0,0,3026352.0,,,0,0,1,1,3658658.0,,,0,0,0,0,6798635.0,,,0,0,0,0,9205651.0,,,1,0,0,1,,,
1.28,32.39,UGA,Ouganda,UGA,0,0,1,1,2.1407693E7,6044585327,,0,0,0,0,2.4275641E7,6193246837,,0,0,0,0,2.7766986E7,7939487548,,0,0,0,0,3.1778799E7,14440404132,,1,0,0,1,3.634586E7,27305915911,,0,0,0,0,,29203988696,0.0108560295345595
-33.0,-56.0,URU,Uruguay,,0,0,0,0,3247585.0,,,0,1,0,1,3320841.0,,,0,0,0,0,3323822.0,,,0,0,0,0,3348898.0,,,0,0,0,0,3395253.0,,,0,0,0,0,,,
39.828175,-98.5795,USA,États-Unis,,43,37,116,196,,8073122000000,,36,49,95,180,2.81421906E8,10250947997000,,49,53,89,191,,12217193198000,,56,76,98,230,,14769857911000,,42,38,97,177,,16253972230000,,48,34,91,173,3.23952889E8,18695110842000,
41.0,66.0,UZB,Ouzbékistan,UZB,1,1,0,2,,13948892216,,2,0,1,3,,13760513969,,1,2,2,5,,12030023548,,3,1,1,5,,29549438884,,2,0,1,3,,67517349212,0.0,4,2,3,9,3.15764E7,86138288633,0.0
8.0,-67.0,VEN,Venezuela,,0,0,0,0,2.2556838E7,70543211119,,0,0,0,0,2.4407553E7,117146466003,,2,0,0,2,2.6261326E7,112451400425,,1,0,0,1,2.8120312E7,315953388511,,0,0,1,1,2.9954782E7,381286237848,,2,1,0,3,,,
16.0,108.0,VIE,,,0,0,0,0,,,,0,1,0,1,,,,0,0,0,0,,,,0,1,0,1,,,,0,0,0,0,,,,0,1,0,1,,,
-19.0,30.0,ZIM,Zimbabwe,,0,0,0,0,1.184611E7,,,0,0,0,0,1.2503652E7,,,1,0,0,1,1.2693047E7,,,0,1,0,1,1.2784041E7,,,0,0,0,0,1.3724317E7,,,0,0,0,0,,,
