Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
4.0,-73.25,COL,Colombie,,0,0,0,0,3.7236124E7,97153389011,,0,0,1,1,3.9897984E7,99875074951,,2,0,0,2,4.2527623E7,117092416666,,1,1,0,2,4.5153037E7,242504150473,,5,2,1,8,4.7704427E7,370691143087,,2,2,3,7,,282720100286,
10.0,-84.0,CRC,Costa Rica,CRI,0,0,1,1,3566605.0,,,0,0,1,1,3810179.0,,,0,0,0,0,4246336.0,,,0,0,0,0,4532711.0,,,0,0,0,0,4805295.0,,,0,0,0,0,,,0.0365939304849711
45.25,15.466667,CRO,,,1,9,12,22,,,,6,0,2,8,,,,2,3,15,20,,,,1,1,0,2,,,,17,3,9,29,,,,5,12,4,21,,,
22.0,-79.5,CUB,Cuba,,8,7,32,47,1.0980758E7,25017368700,,9,34,16,59,1.1138416E7,30565400000,,17,6,28,51,1.1273363E7,38203000000,,12,29,3,44,1.1296355E7,56302129630,,4,2,5,11,1.1270957E7,73141000000,,4,0,6,10,,91370407864,
35.0,33.0,CYP,Chypre,CYP,0,0,0,0,873246.0,10011918444,0.017544958957328195,0,0,0,0,943287.0,9985844486,0.0178386031146767,0,0,0,0,1015820.0,17320552500,0.020423775295170497,0,0,0,0,1077089.0,27844698989,0.024934769800521804,0,1,0,1,1128994.0,24977293926,0.0181069283365734,0,0,0,0,,20952955488,0.0133587886629115
50.0,15.0,CZE,Tchéquie,CZE,2,5,2,9,,67387788633,0.024075374947724597,4,1,2,7,1.0272503E7,61828166496,0.0972639944281686,5,5,1,11,,119814434354,0.011577656195247699,0,4,2,6,,236816485763,0.011237094532088699,6,4,4,14,1.0509286E7,208857719321,0.010699667784486399,9,3,1,13,1.05788E7,196272068576,0.010452642794587198
56.0,10.0,DEN,Danemark,DNK,1,1,18,20,,,0.0091909737285207,4,4,14,22,,,0.0491366790990503,9,1,19,29,,,0.0546480017954823,5,6,7,18,,,0.0481828728760401,8,4,3,15,,,0.0518732961759407,14,8,9,31,5707251.0,,0.0407057755233041
18.8,-70.2,DOM,République dominicaine,DOM,0,0,0,0,8118570.0,18241622548,,0,0,0,0,8663421.0,24305780629,,0,0,1,1,9207389.0,22322387382,,0,1,1,2,9750195.0,48122601530,,0,2,0,2,1.0276621E7,60681535653,,0,0,0,0,,75704647878,0.0454982742721026
-1.0,-78.0,ECU,Équateur,ECU,0,0,1,1,1.1557151E7,25226393197,,0,0,0,0,1.2533087E7,18327764882,,0,0,0,0,1.3529091E7,36591661000,,0,1,0,1,1.4512402E7,61762635000,,0,0,0,0,1.5492264E7,87924544000,,0,0,0,0,,99937696000,0.0995100233706591
27.0,29.0,EGY,Égypte,,0,0,0,0,5.9276672E7,67629716981,,0,0,0,0,6.613659E7,99838543960,,2,1,1,4,7.0591288E7,78782467532,,1,0,0,1,7.5491922E7,162818181818,,0,2,0,2,8.0721874E7,279116666667,,3,0,0,3,,332441717791,
